Chr	Start	End	Gene ID	Ortholog in rice	Phenotype class of QTL	DMR	TE superfamily	Hyper-/Hypomethylation	Expression change (log2FC)	π	Fst	XP-CLR	GWAS signal (100 kb)
scaffold_1	6505279	6513113	Seita.1G070800	GL6|SG6	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.69 	0	0	0	0
scaffold_1	13326954	13335591	Seita.1G135500	OsSWEET4	PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.26 	0	0	0	0
scaffold_1	28579241	28586584	Seita.1G207000	OsSUT5|OsSUT5Z	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-1.46 	0	1	0	0
scaffold_1	35668427	35676285	Seita.1G287100	GS2|OsGRF4|GL2|GLW2|LGS1	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.42 	0	0	0	0
scaffold_1	35928157	35934898	Seita.1G290500	OsPPR16	Grain;PlantArchitecture	Core DMR without TE covered	/	Hyper methylation	7.06 	1	1	0	1
scaffold_2	2691522	2696888	Seita.2G032900	OsTCP21	Grain;PlantArchitecture	Dispensable DMR with TE covered	LINE/L1	Hyper methylation	1.23 	0	0	0	0
scaffold_2	2806392	2811583	Seita.2G034800	prog1	Grain;PlantArchitecture	Dispensable DMR with TE covered	DNA/DTC;Helitron	Hyper methylation	1.22 	0	0	0	3
scaffold_2	32120243	32127356	Seita.2G219200	EP	Grain	Dispensable DMR with TE covered	Others	Hyper methylation	5.16 	0	0	0	0
scaffold_2	32140079	32146159	Seita.2G219500	EP	Grain	Dispensable DMR with TE covered	DNA/CMC-EnSpm	Hyper methylation	-2.62 	0	0	0	0
scaffold_2	32150603	32156793	Seita.2G219600	EP	Grain	Dispensable DMR with TE covered	LTR/Copia	Hyper methylation	-1.40 	0	0	0	0
scaffold_2	32171778	32181407	Seita.2G219800	DEP1|DN1|qPE9-1|OsDEP1	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.02 	0	0	0	0
scaffold_2	33225439	33234324	Seita.2G229700	OsHsf23	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-1.25 	0	1	0	0
scaffold_2	33313326	33318369	Seita.2G230500	OsEATB	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.60 	1	0	0	1
scaffold_2	33378794	33384373	Seita.2G231200	SG1	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	3.41 	1	0	0	2
scaffold_2	33441260	33447656	Seita.2G231900	OsiICK6	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.30 	0	1	0	0
scaffold_2	35492426	35498876	Seita.2G252100	YGL18	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-3.87 	1	0	0	0
scaffold_2	36593903	36600339	Seita.2G264800	OsPIN5b	Grain	Core DMR with TE covered	LINE/L1	Hypo methylation	1.99 	0	0	1	0
scaffold_2	36718479	36727818	Seita.2G266500	OsSPL18	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.34 	0	0	1	0
scaffold_2	36935363	36941720	Seita.2G269400	OsBC1	Grain	Dispensable DMR with TE covered	DNA/hAT	Hyper methylation	1.85 	1	0	0	0
scaffold_2	36961161	36968088	Seita.2G269600	OsRap2.6|OsERF101	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-1.80 	0	1	0	0
scaffold_2	49117592	49135934	Seita.2G444300	Ghd7.1|Hd2|OsPRR37|DTH7	Seed;Panicle;Grain;PlantArchitecture	Core DMR without TE covered	/	Hypo methylation	1.50 	0	0	0	21
scaffold_3	1218780	1225322	Seita.3G020800	sh4|SHA1	Seed;Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.49 	0	0	0	0
scaffold_3	2655106	2661393	Seita.3G043800	GLR1|OsWOX3B|GL1|LSY1	Grain;Seed;PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.11 	0	0	0	11
scaffold_3	4169781	4177963	Seita.3G065500	RPA1c	Grain;Seed	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	-5.28 	1	0	0	0
scaffold_3	7314304	7322277	Seita.3G109700	GSE5	Grain	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.43 	0	0	0	1
scaffold_4	7101841	7113625	Seita.4G086700	OsER1	Seed	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	2.03 	0	0	0	4
scaffold_4	35769297	35776382	Seita.4G235500	D35|OsKOS3|OsKO2	Grain	Core DMR without TE covered	/	Hyper methylation	-3.22 	0	0	0	0
scaffold_4	35775488	35783886	Seita.4G235600	D35|OsKOS3|OsKO2	Grain	Core DMR without TE covered	/	Hyper methylation	-2.68 	0	0	0	0
scaffold_4	38738008	38746632	Seita.4G270400	OsSPL12	PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	1.34 	0	0	0	2
scaffold_4	39119274	39125089	Seita.4G274300	OsCYP19-4	PlantArchitecture	Dispensable DMR with TE covered	Helitron	Hyper methylation	1.54 	0	0	0	3
scaffold_5	2639443	2650521	Seita.5G027000	OSH6	PlantArchitecture	Dispensable DMR with TE covered	DNA/PIF-Harbinger	Hyper methylation	3.24 	0	0	0	0
scaffold_5	3202430	3208061	Seita.5G033400	OsLti6b|ddOs32	PlantArchitecture	Dispensable DMR with TE covered	DNA/TcMar-Stowaway	Hyper methylation	-1.01 	0	0	1	0
scaffold_5	3205912	3210878	Seita.5G033500	OsLti6b|ddOs32	PlantArchitecture	Dispensable DMR with TE covered	DNA/TcMar-Stowaway	Hyper methylation	-1.17 	0	0	1	0
